值类型与引用类型的区别,值类型存储在栈上直接包含数据；引用类型存储在堆上存储数据的地址。
类（Class）和结构（Struct）的主要区别？,类是引用类型（存放在堆上），结构是值类型（存放在栈上）。
什么是访问修饰符 internal？,表示该成员或类只能在当前的程序集（项目）内部访问，这是类的默认修饰符。
什么是字段（Field）的默认访问修饰符？,private（私有），只能在类内部访问。
构造方法（Constructor）可以重载吗？,可以。一个类可以有多个构造方法，只要它们的参数列表不同（参数个数或类型不同）。
什么是对象初始化器？,一种简化的语法，允许在创建对象时直接给属性赋值，无需显式调用构造方法设置属性。
静态类（Static Class）有什么限制？,静态类不能被实例化（不能 new），且类中所有成员必须都是静态的。
什么是垃圾回收（GC）？,.NET 自动管理内存的机制，负责释放不再被使用的对象所占用的内存。
List<T> 集合的 Count 属性表示什么？,表示集合中当前实际包含的元素个数。
Dictionary<TKey, TValue> 如何遍历？,可以遍历 Keys、Values，或者通过 KeyValuePair 遍历键值对。
WinForm 中 Form.Show() 和 Form.ShowDialog() 的区别？,Show() 是非模态显示（可以切换到其他窗体）；ShowDialog() 是模态显示（必须关闭当前窗体才能操作其他窗体）。
WinForm 中 FormClosing 事件的作用？,在窗体关闭之前触发，可以通过设置 Cancel 属性为 true 来阻止窗体关闭（常用于退出确认）。
Label 控件的主要用途是什么？,用于在界面上显示文本信息，通常不由用户编辑。
TextBox 控件的 PasswordChar 属性有什么用？,用于设置密码框的掩码字符（如 *），输入的内容会被该字符代替显示。
CheckBox 和 RadioButton 的区别？,CheckBox 是复选框（支持多选）；RadioButton 是单选按钮（同一组内互斥，只能选一个）。
ComboBox 的 DropDownStyle 属性设置为 DropDownList 会怎样？,下拉框将变成只读模式，用户只能从列表中选择，不能手动输入文本。
Timer 控件的 Interval 属性单位是什么？,毫秒（ms）。
如何给 WinForm 窗体添加菜单栏？,使用 MenuStrip 控件。
什么是事件参数 sender？,在事件处理方法中，sender 代表触发该事件的控件对象（如点击按钮时的 Button 对象）。
如何获取当前系统时间？,使用 DateTime.Now。
File.Exists 方法的作用？,判断指定路径的文件是否存在，返回布尔值。
Path.Combine 方法的作用？,将多个字符串路径组合成一个完整的路径，自动处理路径分隔符。
try-catch-finally 结构中 finally 块的作用？,无论是否发生异常，finally 块中的代码都会执行，通常用于释放资源。
上位机开发推荐的计算机硬件环境是什么？,建议i5 CPU（4核4线程以上）+ 8G内存 + 200G固态硬盘，系统建议Win10。
Visual Studio中Debug和Release模式有什么区别？,Debug是调试模式，包含调试信息，不优化代码；Release是发布模式，文件较小，进行了代码优化，适合生产环境。
.NET平台的编译过程是怎样的？,源代码经过第一次编译生成中间语言（IL）和元数据（DLL/EXE），运行时通过CLR中的JIT（即时编译器）进行第二次编译，生成机器码。
什么是CLR（公共语言运行时）？,CLR是.NET程序的托管中心，负责内存管理、异常处理、垃圾回收、线程管理等，确保代码安全运行。
什么是命名空间（Namespace）？,命名空间用于对类进行逻辑分组和管理，避免类名冲突，类似于行政区域划分。
C#中变量命名有什么规范？,类、属性、方法使用Pascal命名法（首字母大写）；局部变量和私有字段使用Camel命名法（首字母小写）；不能以数字开头，不能使用关键字。
C#中的值类型包括哪些？,整型（int, long等）、浮点型（float, double）、字符型（char）、布尔型（bool）、枚举（enum）、结构（struct）等。
C#中的引用类型包括哪些？,类（class）、接口（interface）、数组（array）、委托（delegate）、字符串（string）等。
值类型和引用类型在内存中有什么区别？,值类型存储在栈中，存储的是具体数据；引用类型存储在堆中，栈中存储的是数据的引用地址。
string.Format和插值字符串$""有什么作用？,用于字符串格式化和拼接，插值字符串$""是C# 6.0后的语法糖，书写更简洁。
Parse和Convert在类型转换中有什么区别？,Parse主要用于将字符串转换为值类型；Convert是万能转换器，处理null时不会报错（返回默认值），适用范围更广。
逻辑运算符 && 和 || 的短路特性是什么？,&&（与）：只要有一个为假，后面不再执行；||（或）：只要有一个为真，后面不再执行。
Switch结构和多重If结构如何选择？,Switch适合等值判断，代码清晰高效；If-Else适合区间判断或复杂逻辑。
StringBuilder类有什么优势？,StringBuilder是可变字符串，在进行大量字符串拼接时，不会像String那样频繁创建新对象，内存效率更高。
数组（Array）的特点是什么？,存储相同数据类型的一组数据，在内存中是连续的，长度一旦固定不可修改。
foreach循环和for循环的区别？,for循环适合已知次数的遍历；foreach适合遍历集合或数组中的元素，不需要关注索引。
const常量有什么特点？,在定义时必须初始化，且之后不能被修改。
枚举（Enum）的作用是什么？,用于表示一组有限的命名整数常量，使代码更具可读性（如表示星期、状态等）。
程序调试（Debug）的常用快捷键有哪些？,F5启动调试，F9设置断点，F10逐过程（不进入方法内部），F11逐语句（进入方法内部）。
类（Class）和对象（Object）的关系？,类是抽象的模板（定义了属性和方法），对象是根据类创建的具体实例（拥有具体数据）。
字段（Field）和属性（Property）的区别？,字段通常为private，用于类内部数据存储；属性通常为public，用于对外提供数据访问，可包含业务逻辑控制。
构造方法（Constructor）的作用是什么？,用于对象的初始化，在创建对象（new）时自动调用。
构造方法有什么特征？,方法名与类名相同，没有返回值（连void都不写），可以重载。
this关键字代表什么？,代表当前对象的实例，用于区分成员变量和局部变量，或在一个构造方法中调用另一个构造方法。
什么是静态成员（static）？,使用static修饰的成员属于类本身，不属于具体对象，通过“类名.成员名”直接调用，随程序启动初始化。
泛型集合List<T>相对于数组的优势？,长度不固定，可以动态添加（Add）、删除（Remove）元素，且类型安全。
字典集合Dictionary<K, V>的特点？,基于键值对（Key-Value）存储，通过Key可以快速查找Value，键必须唯一。
面向对象的三大特性是什么？,封装、继承、多态。
WinForm中的部分类（partial class）是什么意思？,允许将一个类的代码分散在多个文件中。在WinForm中，由设计器生成的代码和用户编写的代码分开存放，但编译时合并为一个类。
Windows程序的事件驱动机制包含哪几个要素？,定义事件、处理事件（方法）、事件关联（委托）、激发事件。
什么是模态窗体（ShowDialog）？,打开后必须关闭当前窗体才能操作其他窗体，常用于需要返回结果或强制用户操作的场景。
如何让DataGridView不自动生成列？,设置AutoGenerateColumns属性为false。
ComboBox控件如何设置为不可输入只选？,设置DropDownStyle属性为DropDownList。
如何处理窗体关闭前的确认操作？,在窗体的FormClosing事件中，判断用户选择，如果取消关闭，设置e.Cancel = true。
OpenFileDialog的作用是什么？,文件打开对话框，用于让用户选择文件（如选择图片路径），获取FileName属性。
如何实现ComboBox的动态数据绑定？,设置DataSource为对象集合，DisplayMember为显示属性名，ValueMember为实际值属性名。
上位机, 上位机
