在C#中，用于组织代码并防止命名冲突的容器是什么？,命名空间 (namespace)。
将对象序列化为JSON格式时，.NET中常用的类是什么？,`System.Text.Json.JsonSerializer`。
在C#中，`using` 语句有什么特殊用途，尤其是在处理文件流或数据库连接时？,它提供了一种方便的语法，可以确保在代码块结束时自动调用对象的 `Dispose` 方法，从而释放非托管资源。
在 .NET MAUI 和 WPF 中，用于定义用户界面的声明性标记语言是什么？,XAML (eXtensible Application Markup Language)。
在 XAML 中，`Grid` 控件的主要用途是什么？,通过定义行和列，将控件组织成灵活的网格布局。
在MAUI/WPF中，将UI元素的属性连接到数据源属性的机制称为什么？,数据绑定 (Data Binding)。
为了让数据绑定能够动态更新UI，数据源对象通常需要实现哪个接口？,`INotifyPropertyChanged`。
在Unity中，构成游戏世界中所有对象的基础是什么？,游戏对象 (GameObject)。
在Unity中，为GameObject添加功能和行为的模块叫什么？,组件 (Component)。
在Unity C#脚本中，每一帧都会被调用的方法是 _____()。,`Update`
在Unity C#脚本中，仅在对象首次启用前被调用一次的方法是 _____()。,`Start`
什么是静态方法 (static method)？,属于类本身而不是类的任何特定实例的方法，可以直接通过类名调用，无需创建对象。
将一个类型的值转换为另一个类型的过程称为什么？,类型转换 (Casting)。
将子类对象赋值给基类类型的变量，这被称为 _____。,向上转型 (Upcasting)
什么是扩展方法 (extension method)？,一种特殊的静态方法，它允许在不修改、派生或重新编译现有类的情况下，向该类添加新方法。
在声明扩展方法时，第一个参数必须使用哪个关键字进行修饰？,`this` 关键字。
一种特殊的类，主要用于封装数据，并自动提供值相等性比较、`ToString()` 和非破坏性突变等功能，这是什么？,记录 (record)。
在C#中，`++i` (前缀增量) 和 `i++` (后缀增量) 的区别是什么？,`++i` 先将 `i` 的值加1，然后返回新值；`i++` 先返回 `i` 的原始值，然后再将其加1。
在方法声明中，使用 `out` 关键字修饰的参数有什么特点？,`out` 参数在传入方法前无需初始化，但必须在方法返回前被赋值，它用于从方法中返回多个值。
在方法声明中，使用 `ref` 关键字修饰的参数有什么特点？,`ref` 参数按引用传递，必须在传入方法前初始化，方法内部对参数的任何修改都会影响原始变量。
.NET 程序的代码在执行前会被编译成一种中间语言，这种语言叫什么？,MSIL (Microsoft Intermediate Language) 或 CIL (Common Intermediate Language)。
负责将CIL/MSIL代码即时编译成本地机器码并执行的.NET组件是什么？,公共语言运行时 (CLR - Common Language Runtime)。
在CLR管理下运行的代码被称为 _____ 代码。,托管 (Managed)
WPF控件 `CheckBox` 的主要功能是什么？,它是一个选择控件，用户可以勾选或清除它。
在WPF或MAUI中，表示操作进度的控件是 _____。,`ProgressBar`
在WPF中，用于创建下拉菜单或上下文菜单的控件是什么？,`Menu` 和 `MenuItem`。
什么是事件驱动编程 (event-driven programming)？,一种编程范式，程序的流程由事件（如用户操作、传感器输出或消息）来决定。
在WinForms或WPF中，按钮最常用的事件是什么？,`Click` 事件。
在C#中，用于使某个值在程序执行期间不能被修改的关键字是 _____。,`const`
在调试C#程序时，设置一个可以让程序执行到特定行时暂停的点，这个点被称为什么？,断点 (Breakpoint)。
在调试时，逐行执行代码而不进入方法内部的操作叫什么？,逐过程 (Step Over / F10)。
在调试时，逐行执行代码并进入调用的方法内部的操作叫什么？,逐语句 (Step Into / F11)。
在`switch`语句中，如果没有任何`case`标签匹配，将执行哪个代码块？,`default` 代码块。
要允许多个`case`标签执行相同的代码块，C#中是如何实现的？,将多个`case`标签堆叠在一起，不加`break`，直到遇到包含代码和`break`的`case`。
在WPF中，要实现拖放功能，目标控件的哪个属性必须设置为 `true`？,`AllowDrop` 属性。
`Path.Combine()` 方法的作用是什么？,将两个字符串组合成一个路径，并正确处理平台相关的目录分隔符。
什么是 `Stream`？,在.NET中，`Stream` 是字节序列的抽象，用于对后备存储（如文件或内存）进行读写操作。
用于从文本文件读取字符的 `Stream` 实现类是什么？,`StreamReader`。
用于向文本文件写入字符的 `Stream` 实现类是什么？,`StreamWriter`。
在 C# 中，`this` 关键字在实例方法或构造函数中指代什么？,指代当前类的实例对象。
什么是方法重载 (overloading)？,在同一个类中定义多个同名方法，但它们的参数列表（参数数量或类型）不同。
要使一个值类型（如 `int`）可以接受 `null` 值，应该如何声明它？,使用可空类型语法，在类型后面加上问号，例如 `int?`。
空合并运算符 `??` 的作用是什么？,如果左侧操作数为 `null`，则返回右侧操作数；否则返回左侧操作数。
在 .NET MAUI 中，`CollectionView` 控件的用途是什么？,用于以列表或网格的形式显示数据集合。
要使 `CollectionView` 在其数据源集合发生变化时自动更新，该数据源应使用哪种集合类型？,`ObservableCollection<T>`。
在 .NET 中，用于管理项目依赖项（第三方库）的包管理器是什么？,NuGet。
在C#中，`var` 关键字的用途是什么？,用于声明隐式类型局部变量，编译器会根据初始化表达式自动推断变量的类型。
什么是装箱 (Boxing) 和拆箱 (Unboxing)？,装箱是将值类型转换为 `object` 类型或任何接口类型的过程；拆箱则是将装箱后的对象转换回其原始值类型的过程。
定义：`partial` 类,允许将一个类、结构或接口的定义拆分到多个文件中，在编译时这些部分会被合并成一个完整的定义。
在 Unity 中，用于存储项目资源（如脚本、纹理、材质）的窗口是哪个？,项目 (Project) 窗口。
在 Unity 中，显示当前场景中所有 GameObject 层级结构的窗口是哪个？,层级 (Hierarchy) 窗口。
在 Unity 中，用于查看和编辑选定 GameObject 及其组件属性的窗口是哪个？,检视 (Inspector) 窗口。
flashcard1s, flashcard1s
